TIMESTAMP,TEMPERATURE,DUST,HUMIDITY,PRESSURE
1554753601015,23.6,41,42,982
1554757202176,23.6,37,45,982
1554760801026,23.5,38,43,982
1554764400955,23.4,34,43,982
1554768001224,23.3,37,43,982
1554771601377,23.3,34,43,982
1554775200747,23.3,34,43,982
1554778800182,23.2,33,42,982
1554782400294,23.3,34,43,982
1554786000291,23.4,35,42,982
1554789600181,26,34,38,983
1554793200195,29,31,32,983
1554796800200,30.7,28,29,983
1554800400206,30.9,30,29,983
1554804000869,28.2,26,32,983
1554807600164,26.4,31,35,982
1554811200168,26.1,26,36,982
1554814800249,25.7,27,36,982
1554818400266,25.6,27,35,982
1554822000259,25.3,28,36,982
1554825600352,25.1,25,37,982
1554829200425,24.8,23,40,982
1554832800447,24.4,34,39,983
1554836400680,24.2,33,40,984
1554840000644,24,35,40,984
1554843600680,23.8,32,40,984
1554847200667,23.6,30,39,985
1554850800641,23.6,26,39,985
1554854400760,23.5,29,39,985
1554858000924,23.4,26,38,986
1554861600807,23.3,27,38,986
1554865200824,23.2,23,38,986
1554868800821,23.2,23,39,986
1554872400869,23.3,22,37,986
1554876000906,23.5,20,36,987
1554879600962,24.6,22,34,987
1554883200946,25.5,18,32,987
1554886800977,27.7,17,29,987
1554890400959,25.1,16,31,987
1554894000990,24.2,17,33,986
1554897601052,23.9,15,34,986
1554901201047,24,14,33,986
1554904801168,23.7,14,33,986
1554908401111,23.5,16,34,986
1554912001332,23.4,16,35,987
1554915601154,23.3,14,35,987
1554919201346,23.3,15,35,988
1554922800652,23.2,16,35,988
1555138801482,21.6,28,39,993
1555142401202,21.7,28,38,993
1555146000832,21.9,11,38,993
1555149601046,21.9,28,37,993
1555153200852,22.2,28,39,993
1555156800728,22.2,28,39,993
1555160400450,22.1,28,38,993
1555164000634,22.1,28,39,992
1555167600913,22.2,28,39,992
1555171200903,22,28,39,992
1555192801268,22.1,60,41,992
1555196400718,21.7,72,40,992
1555200000745,21.6,71,40,992
1555203600960,21.6,60,40,992
1555207200658,21.5,48,40,992
1555210800411,21.5,39,39,992
1555214400677,21.4,36,39,992
1555218000941,21.8,30,38,992
1555221600888,22.2,26,38,992
1555225200698,22.3,21,37,993
1555228800906,23.3,20,35,993
1555232402540,28.4,20,29,993
1555236000839,25.4,,30,993
1555239601042,23.5,,33,993
1555243200658,22.9,,34,993
1555246801146,22.7,,35,993
1555279201187,21.4,17,38,996
1555282800884,21.4,16,37,996
1555286400848,21.3,16,37,996
1555290000767,21.2,17,37,996
1555293600474,21.2,16,37,997
1555297200519,21.1,17,37,997
1555300800485,21.5,16,38,997
1555304400482,21.4,24,39,998
1555308000935,25.2,19,33,998
1555311600980,28.4,16,28,998
1555315200628,30.2,15,25,998
1555318801037,30.1,13,25,998
1555322400653,23.9,24,22,998
1555326000696,23.6,18,27,998
1555329600447,23.3,16,28,997
1555333200704,22.9,14,29,997
1555336800484,22.7,12,30,996
1555340400535,22.9,11,32,996
1555344000956,23.3,8,33,996
1555347600858,22.9,6,33,996
1555351200731,22.4,6,35,996
1555354801037,22.2,13,35,997
1555358400663,22.4,20,35,997
1555362000526,22.3,26,35,997
1555365600660,22.2,35,35,997
1555369200511,22,44,34,997
1555372800511,21.9,32,34,997
1555376400690,21.8,32,34,996
1555380000523,21.7,29,34,997
1555383600753,21.7,27,34,996
1555387201020,21.7,29,34,996
1555390800731,21.8,29,34,997
1555394400737,25.6,31,29,997
1555398000967,29.1,23,25,997
1555401600888,30,23,23,997
1555405200480,29.8,23,24,997
1555408800537,27.1,15,26,997
1555412400673,24.6,12,29,997
1555416000460,23.8,13,28,996
1555419600435,22.2,12,27,996
1555423200419,21.7,11,28,995
1555426800394,21.7,11,27,995
1555430400949,21.7,11,27,995
1555434000775,21.3,10,27,995
1555437600861,20.6,13,30,996
1555441200948,19.8,13,34,997
1555444800627,22.3,9,34,997
1555448400493,22.3,12,37,997
1555452000557,23,9,36,997
1555455600570,22.3,10,37,997
